Timeline,filters,Count
2017-03-09 10:00,CMSProd,783
2017-03-09 10:00,CMSPool,746
2017-03-09 10:00,PhEDEx,278
2017-03-09 10:00,LCGAdmin,48
2017-03-09 10:00,LIGO,0
2017-03-09 10:00,Others,0
2017-03-09 11:00,CMSProd,4923
2017-03-09 11:00,CMSPool,4008
2017-03-09 11:00,PhEDEx,1233
2017-03-09 11:00,LCGAdmin,264
2017-03-09 11:00,LIGO,8
2017-03-09 11:00,Others,0
2017-03-09 12:00,CMSProd,6437
2017-03-09 12:00,CMSPool,4979
2017-03-09 12:00,PhEDEx,1688
2017-03-09 12:00,LCGAdmin,274
2017-03-09 12:00,LIGO,8
2017-03-09 12:00,Others,0
2017-03-09 13:00,CMSProd,6174
2017-03-09 13:00,CMSPool,9404
2017-03-09 13:00,PhEDEx,1248
2017-03-09 13:00,LCGAdmin,296
2017-03-09 13:00,LIGO,8
2017-03-09 13:00,Others,0
2017-03-09 14:00,CMSProd,5312
2017-03-09 14:00,CMSPool,8585
2017-03-09 14:00,PhEDEx,1577
2017-03-09 14:00,LCGAdmin,279
2017-03-09 14:00,LIGO,4
2017-03-09 14:00,Others,0
2017-03-09 15:00,CMSProd,5145
2017-03-09 15:00,CMSPool,10823
2017-03-09 15:00,PhEDEx,1396
2017-03-09 15:00,LCGAdmin,247
2017-03-09 15:00,LIGO,150
2017-03-09 15:00,Others,0
2017-03-09 16:00,CMSProd,3497
2017-03-09 16:00,CMSPool,21515
2017-03-09 16:00,PhEDEx,1189
2017-03-09 16:00,LCGAdmin,289
2017-03-09 16:00,LIGO,126
2017-03-09 16:00,Others,0
2017-03-09 17:00,CMSProd,2526
2017-03-09 17:00,CMSPool,26063
2017-03-09 17:00,PhEDEx,1194
2017-03-09 17:00,LCGAdmin,301
2017-03-09 17:00,LIGO,234
2017-03-09 17:00,Others,0
2017-03-09 18:00,CMSProd,2552
2017-03-09 18:00,CMSPool,17114
2017-03-09 18:00,PhEDEx,1324
2017-03-09 18:00,LCGAdmin,375
2017-03-09 18:00,LIGO,185
2017-03-09 18:00,Others,0
2017-03-09 19:00,CMSProd,2825
2017-03-09 19:00,CMSPool,18893
2017-03-09 19:00,PhEDEx,1360
2017-03-09 19:00,LCGAdmin,320
2017-03-09 19:00,LIGO,162
2017-03-09 19:00,Others,0
2017-03-09 20:00,CMSProd,2037
2017-03-09 20:00,CMSPool,15738
2017-03-09 20:00,PhEDEx,1432
2017-03-09 20:00,LCGAdmin,338
2017-03-09 20:00,LIGO,79
