Timeline,filters,Count
"2017-03-09 10:00",CMSProd,783
"2017-03-09 10:00",CMSPool,746
"2017-03-09 10:00",PhEDEx,278
"2017-03-09 10:00",LCGAdmin,48
"2017-03-09 10:00",LIGO,0
"2017-03-09 10:00",Others,0
"2017-03-09 11:00",CMSProd,"4,923"
"2017-03-09 11:00",CMSPool,"4,008"
"2017-03-09 11:00",PhEDEx,"1,233"
"2017-03-09 11:00",LCGAdmin,264
"2017-03-09 11:00",LIGO,8
"2017-03-09 11:00",Others,0
"2017-03-09 12:00",CMSProd,"6,437"
"2017-03-09 12:00",CMSPool,"4,979"
"2017-03-09 12:00",PhEDEx,"1,688"
"2017-03-09 12:00",LCGAdmin,274
"2017-03-09 12:00",LIGO,8
"2017-03-09 12:00",Others,0
"2017-03-09 13:00",CMSProd,"6,174"
"2017-03-09 13:00",CMSPool,"9,404"
"2017-03-09 13:00",PhEDEx,"1,248"
"2017-03-09 13:00",LCGAdmin,296
"2017-03-09 13:00",LIGO,8
"2017-03-09 13:00",Others,0
"2017-03-09 14:00",CMSProd,"5,312"
"2017-03-09 14:00",CMSPool,"8,585"
"2017-03-09 14:00",PhEDEx,"1,577"
"2017-03-09 14:00",LCGAdmin,279
"2017-03-09 14:00",LIGO,4
"2017-03-09 14:00",Others,0
"2017-03-09 15:00",CMSProd,"5,145"
"2017-03-09 15:00",CMSPool,"10,823"
"2017-03-09 15:00",PhEDEx,"1,396"
"2017-03-09 15:00",LCGAdmin,247
"2017-03-09 15:00",LIGO,150
"2017-03-09 15:00",Others,0
"2017-03-09 16:00",CMSProd,"3,497"
"2017-03-09 16:00",CMSPool,"21,515"
"2017-03-09 16:00",PhEDEx,"1,189"
"2017-03-09 16:00",LCGAdmin,289
"2017-03-09 16:00",LIGO,126
"2017-03-09 16:00",Others,0
"2017-03-09 17:00",CMSProd,"2,526"
"2017-03-09 17:00",CMSPool,"26,063"
"2017-03-09 17:00",PhEDEx,"1,194"
"2017-03-09 17:00",LCGAdmin,301
"2017-03-09 17:00",LIGO,234
"2017-03-09 17:00",Others,0
"2017-03-09 18:00",CMSProd,"2,552"
"2017-03-09 18:00",CMSPool,"17,114"
"2017-03-09 18:00",PhEDEx,"1,324"
"2017-03-09 18:00",LCGAdmin,375
"2017-03-09 18:00",LIGO,185
"2017-03-09 18:00",Others,0
"2017-03-09 19:00",CMSProd,"2,825"
"2017-03-09 19:00",CMSPool,"18,893"
"2017-03-09 19:00",PhEDEx,"1,360"
"2017-03-09 19:00",LCGAdmin,320
